Date,Footfall
2005-01-01,1603330
2005-02-01,1792168
2005-03-01,2075432
2005-04-01,2065887
2005-05-01,1873915
2005-06-01,1687330
2005-07-01,1823010
2005-08-01,1724474
2005-09-01,1504602
2005-10-01,1984109
2005-11-01,1679928
2005-12-01,1606069
2006-01-01,1593785
2006-02-01,1728891
2006-03-01,1830299
2006-04-01,2145666
2006-05-01,1856026
2006-06-01,1703285
2006-07-01,2257516
2006-08-01,2363963
2006-09-01,1776427
2006-10-01,2448827
2006-11-01,2072888
2006-12-01,2019647
2007-01-01,1842508
2007-02-01,2064715
2007-03-01,2207087
2007-04-01,2165829
2007-05-01,1981726
2007-06-01,1798214
2007-07-01,2213823
2007-08-01,2386783
2007-09-01,1793992
2007-10-01,2245986
2007-11-01,2027089
2007-12-01,1898824
2008-01-01,1870366
2008-02-01,2160157
2008-03-01,2384916
2008-04-01,2048604
2008-05-01,1952543
2008-06-01,1884095
2008-07-01,2362886
2008-08-01,2798810
2008-09-01,1798738
2008-10-01,2244692
2008-11-01,1904392
2008-12-01,1662572
2009-01-01,1812056
2009-02-01,1933763
2009-03-01,2187357
2009-04-01,2234332
2009-05-01,2085656
2009-06-01,1829853
2009-07-01,2332813
2009-08-01,2612026
2009-09-01,1830567
2009-10-01,2299946
2009-11-01,2043214
2009-12-01,1879423
2010-01-01,2004887
2010-02-01,2165352
2010-03-01,2215502
2010-04-01,2324684
2010-05-01,2323446
2010-06-01,2081303
2010-07-01,2644529
2010-08-01,3010041
2010-09-01,1950953
2010-10-01,2595595
2010-11-01,2053497
2010-12-01,1702638
2011-01-01,2049810
2011-02-01,2182837
2011-03-01,2255519
2011-04-01,2487910
2011-05-01,2216806
2011-06-01,2410063
2011-07-01,3002995
2011-08-01,3007081
2011-09-01,2135873
2011-10-01,2606486
2011-11-01,2047622
2011-12-01,2082604
2012-01-01,2218039
2012-02-01,2334715
2012-03-01,2455929
2012-04-01,3014416
2012-05-01,2346562
2012-06-01,2495167
2012-07-01,2573715
2012-08-01,2661545
2012-09-01,2455774
2012-10-01,2630122
2012-11-01,2322650
2012-12-01,2100597
2013-01-01,2052797
2013-02-01,2441332
2013-03-01,3057521
2013-04-01,2925480
2013-05-01,2870551
2013-06-01,2676336
2013-07-01,3121423
2013-08-01,3239612
2013-09-01,2446984
2013-10-01,2571657
2013-11-01,2148682
2013-12-01,2117686
2014-01-01,2218056
2014-02-01,2476601
2014-03-01,2699082
2014-04-01,2948793
2014-05-01,2935902
2014-06-01,2841089
2014-07-01,3160015
2014-08-01,3578957
2014-09-01,2471488
2014-10-01,2820223
2014-11-01,2411131
2014-12-01,2323519
2015-01-01,2354670
2015-02-01,2403896
2015-03-01,2719441
2015-04-01,2848561
2015-05-01,2900103
2015-06-01,2689561
2015-07-01,3204066
2015-08-01,3100935
2015-09-01,2333896
2015-10-01,2614777
2015-11-01,2282440
2015-12-01,2073237
2016-01-01,2155215
2016-02-01,2444699
2016-03-01,2672618
2016-04-01,2521585
2016-05-01,2299145
2016-06-01,2723119
2016-07-01,3109745
2016-08-01,3086512
2016-09-01,2472500
2016-10-01,2937261
2016-11-01,2370070
2016-12-01,2369586
2017-01-01,2246171
2017-02-01,2574892
2017-03-01,2721597
2017-04-01,3055507
2017-05-01,2680292
2017-06-01,2439471
2017-07-01,2946783
2017-08-01,2909446
2017-09-01,2420217
2017-10-01,2639665
2017-11-01,2223114
2017-12-01,2241772
2018-01-01,2212337
2018-02-01,2505124
2018-03-01,2699364
2018-04-01,2946322
2018-05-01,2583918
2018-06-01,2692668
2018-07-01,3054495
2018-08-01,3333121
2018-09-01,2601694
2018-10-01,2839719
2018-11-01,2356264
2018-12-01,2437936
2019-01-01,2415756
2019-02-01,2586188
2019-03-01,2908906
2019-04-01,3003543
2019-05-01,2806461
2019-06-01,3044830
2019-07-01,3353397
2019-08-01,3391846
2019-09-01,2543464
2019-10-01,2946717
2019-11-01,2444091
2019-12-01,2419604
2020-01-01,2376109
2020-02-01,2469759
2020-03-01,1060707
2020-04-01,0
2020-05-01,0
2020-06-01,0
2020-07-01,70035
2020-08-01,362938
2020-09-01,382393
2020-10-01,496033
2020-11-01,87462
2020-12-01,185727
2021-01-01,0
2021-02-01,0
2021-03-01,0
2021-04-01,3008
2021-05-01,333075
2021-06-01,695642
2021-07-01,867404
2021-08-01,1286445
2021-09-01,962119
2021-10-01,1314730
2021-11-01,1113518
2021-12-01,884961
2022-01-01,928137
2022-02-01,1281822
2022-03-01,1369106
2022-04-01,1974282
2022-05-01,1775021
2022-06-01,1961462
2022-07-01,2251047
2022-08-01,2400637
2022-09-01,1720851
2022-10-01,2276007
2022-11-01,1847818
2022-12-01,1854265
2023-01-01,1864239
2023-02-01,1954257
2023-03-01,2188691
2023-04-01,2446613
2023-05-01,2302217
2023-06-01,2330578
2023-07-01,2913563
2023-08-01,2963700
2023-09-01,2132783
2023-10-01,2441119
2023-11-01,2030826
2023-12-01,2048665
2024-01-01,2080754
2024-02-01,2335348
2024-03-01,2508320
2024-04-01,2495847
2024-05-01,2553651
2024-06-01,2390204
2024-07-01,2792779
2024-08-01,2991720
2024-09-01,2172684
2024-10-01,2456738
2024-11-01,2105206
2024-12-01,2133044
